#Pleiades SPK Reference Corpus
#Source: JPL Horizons VECTORS (geocentric, Ecliptic of J2000, GEOMETRIC), Tier B constrained
#Coverage: geocentric ecliptic (mean geometric), TDB epochs
#Redistribution: derived from public-domain JPL Horizons; corpus is redistributable
#Slice-Role: asteroid_constrained
#Columns:epoch_jd,body,x_km,y_km,z_km
2415020.5,asteroid:2060-Chiron,-282936077.762095,-1654435873.139772,139557458.887363
2415385.5,asteroid:2060-Chiron,3443170.649392,-1785684675.758225,170828336.949641
2415750.5,asteroid:2060-Chiron,291071286.528375,-1868304500.304071,196923009.089940
2416115.5,asteroid:2060-Chiron,572518342.881158,-1908357594.221635,218111369.457771
2416480.5,asteroid:2060-Chiron,842768087.452716,-1911807113.014883,234765445.785160
2416845.5,asteroid:2060-Chiron,1098595972.308589,-1884149260.119365,247282068.793892
2417210.5,asteroid:2060-Chiron,1338076313.168821,-1830146453.559294,256040276.145671
2417575.5,asteroid:2060-Chiron,1560062161.241441,-1753890334.351566,261394679.369387
2417940.5,asteroid:2060-Chiron,1764025915.032047,-1658860523.398446,263667568.938058
2418305.5,asteroid:2060-Chiron,1949761379.896191,-1547939829.811528,263148135.156208
2418670.5,asteroid:2060-Chiron,2117167969.726786,-1423620362.119772,260100834.893578
2419035.5,asteroid:2060-Chiron,2266342857.143518,-1288035461.626561,254758723.041241
2419400.5,asteroid:2060-Chiron,2397387582.019425,-1143011469.261465,247336512.996275
2419765.5,asteroid:2060-Chiron,2510393421.084456,-990237546.415820,238025734.066192
2420130.5,asteroid:2060-Chiron,2605526063.617464,-831213435.590812,227002176.475906
2420495.5,asteroid:2060-Chiron,2682864066.635039,-667319256.030976,214428356.315416
2420860.5,asteroid:2060-Chiron,2742551397.615614,-499927556.461842,200449615.202120
2421225.5,asteroid:2060-Chiron,2784806489.331807,-330315242.656181,185206321.518446
2421590.5,asteroid:2060-Chiron,2809824488.542093,-159699004.549137,168824182.982825
2421955.5,asteroid:2060-Chiron,2817924398.281185,10775964.533912,151424472.647163
2422320.5,asteroid:2060-Chiron,2809410456.402350,180125490.670576,133122777.885228
2422685.5,asteroid:2060-Chiron,2784487515.429800,347392070.950053,114028098.145713
2423050.5,asteroid:2060-Chiron,2743377292.409641,511651626.236180,94255595.271124
2423415.5,asteroid:2060-Chiron,2686190771.320712,672032034.225426,73914746.127337
2423780.5,asteroid:2060-Chiron,2613003916.114979,827570376.272847,53122817.097876
2424145.5,asteroid:2060-Chiron,2523895888.748007,977260541.341922,32000412.235784
2424510.5,asteroid:2060-Chiron,2418853217.248498,1120035139.357577,10672944.903962
2424875.5,asteroid:2060-Chiron,2297896766.891166,1254653736.183237,-10720801.678741
2425240.5,asteroid:2060-Chiron,2161113193.404275,1379767009.686810,-32038029.154606
2425605.5,asteroid:2060-Chiron,2008610281.814729,1493857116.518568,-53118006.942248
2425970.5,asteroid:2060-Chiron,1840670057.992507,1595243605.276114,-73786239.426361
2426335.5,asteroid:2060-Chiron,1657701452.568119,1682191749.789769,-93847419.161119
2426700.5,asteroid:2060-Chiron,1460217963.471360,1752798356.698746,-113076269.052016
2427065.5,asteroid:2060-Chiron,1248909603.668680,1804949677.950981,-131216072.560598
2427430.5,asteroid:2060-Chiron,1024611767.489505,1836316020.182224,-147960194.796496
2427795.5,asteroid:2060-Chiron,788450125.923866,1844209500.011927,-162950931.980060
2428160.5,asteroid:2060-Chiron,542028135.435212,1825567155.533849,-175759471.910423
2428525.5,asteroid:2060-Chiron,287535218.769910,1776924829.203964,-185874742.759292
2428890.5,asteroid:2060-Chiron,28099919.604761,1694362642.018449,-192689295.787498
2429255.5,asteroid:2060-Chiron,-231811615.313986,1573652618.256767,-195482219.397265
2429620.5,asteroid:2060-Chiron,-485912849.345877,1410501259.761609,-193428586.104383
2429985.5,asteroid:2060-Chiron,-725443062.832211,1201106074.696302,-185617022.411505
2430350.5,asteroid:2060-Chiron,-938700921.769944,943366804.160647,-171141860.305342
2430715.5,asteroid:2060-Chiron,-1111053159.223304,638645101.614203,-149280776.488744
2431080.5,asteroid:2060-Chiron,-1226143639.866772,293977281.058464,-119792645.492945
2431445.5,asteroid:2060-Chiron,-1269082133.294502,-76154926.751717,-83287300.390844
2431810.5,asteroid:2060-Chiron,-1231122568.349120,-450526972.713396,-41441791.146198
2432175.5,asteroid:2060-Chiron,-1113563107.221738,-805382907.842029,3139700.538928
2432540.5,asteroid:2060-Chiron,-927868419.157704,-1120397658.044066,47581030.756369
2432905.5,asteroid:2060-Chiron,-691567235.059352,-1382916745.672770,89491066.451423
2433270.5,asteroid:2060-Chiron,-423024328.009649,-1588398987.256870,127303947.715913
2433635.5,asteroid:2060-Chiron,-138036939.650907,-1738262410.732882,160242643.065748
2434000.5,asteroid:2060-Chiron,151334737.038393,-1837296475.201585,188088160.788318
2434365.5,asteroid:2060-Chiron,436602302.225315,-1891576879.117913,210963702.069515
2434730.5,asteroid:2060-Chiron,712087231.863656,-1907242557.091431,229165910.491978
2435095.5,asteroid:2060-Chiron,974136621.652703,-1889957199.185194,243059063.218389
2435460.5,asteroid:2060-Chiron,1220523915.482365,-1844647186.464326,253026875.444193
2435825.5,asteroid:2060-Chiron,1449865181.594035,-1775538860.145673,259433941.995752
2436190.5,asteroid:2060-Chiron,1661359138.034533,-1686258360.397686,262623034.983275
2436555.5,asteroid:2060-Chiron,1854604206.267223,-1579856230.740343,262903924.428302
2436920.5,asteroid:2060-Chiron,2029379706.686617,-1458978446.207274,260555510.116595
2437285.5,asteroid:2060-Chiron,2185631553.375268,-1325952415.934375,255830611.747287
2437650.5,asteroid:2060-Chiron,2323389343.847373,-1182794679.780738,248952891.385512
2438015.5,asteroid:2060-Chiron,2442698147.893259,-1031360889.380323,240127820.572640
2438380.5,asteroid:2060-Chiron,2543747748.356268,-873361819.306449,229537045.101497
2438745.5,asteroid:2060-Chiron,2626775727.784653,-710343741.119903,217348463.798836
2439110.5,asteroid:2060-Chiron,2692063903.953065,-543743871.143305,203714682.699896
2439475.5,asteroid:2060-Chiron,2739997324.273669,-374795480.135656,188773105.030090
2439840.5,asteroid:2060-Chiron,2770883868.154936,-204577246.167127,172656965.261591
2440205.5,asteroid:2060-Chiron,2784987674.253603,-34122543.030061,155487102.571316
2440570.5,asteroid:2060-Chiron,2782558399.979135,135648115.841978,137385381.444924
2440935.5,asteroid:2060-Chiron,2763716257.290849,303832154.337759,118467687.788834
2441300.5,asteroid:2060-Chiron,2728595976.786457,469485480.736174,98847913.774754
2441665.5,asteroid:2060-Chiron,2677290646.782292,631684435.625434,78644246.796798
2442030.5,asteroid:2060-Chiron,2609787866.160279,789411035.202156,57970634.415452
2442395.5,asteroid:2060-Chiron,2526163048.853149,941558107.032456,36949975.306277
2442760.5,asteroid:2060-Chiron,2426487662.369694,1086964850.565655,15704234.187016
2443125.5,asteroid:2060-Chiron,2310875250.104754,1224328725.895369,-5638316.464703
2443490.5,asteroid:2060-Chiron,2179603785.548637,1352333050.471467,-26937798.338072
2443855.5,asteroid:2060-Chiron,2032931379.846977,1469659107.015968,-48048812.880348
2444220.5,asteroid:2060-Chiron,1871182628.730374,1574857499.998838,-68804047.199881
2444585.5,asteroid:2060-Chiron,1694735594.684827,1666408203.808539,-89020303.708746
2444950.5,asteroid:2060-Chiron,1503930025.743115,1742623506.122092,-108485663.351360
2445315.5,asteroid:2060-Chiron,1299279193.732384,1801554448.350370,-126955513.466800
