#Pleiades SPK Reference Corpus
#Source: JPL DE SPK kernel: de440.bsp
#Kernel-SHA256: a4ce9bf9b3282becc9f4b2ac3cebe03a2ae7599981aabd7265fd8482fff7c4b5
#Coverage: geocentric ecliptic (mean geometric), TDB epochs
#Redistribution: derived from public-domain JPL DE kernel; corpus is redistributable
#Slice-Role: boundary
#Columns:epoch_jd,body,x_km,y_km,z_km
2305082.5,Sun,40130783.963994,-141504621.855334,2297.381692
2305082.5,Moon,339039.847516,-134421.869750,7761.876108
2305082.5,Mercury,41330781.674741,-210513772.855877,-5646695.854709
2305082.5,Venus,4175950.554227,-243944879.652608,895782.819445
2305082.5,Mars,60659531.673000,-356020741.973456,-4786044.730659
2305082.5,Jupiter,-229953558.692928,591790688.473797,2588291.166498
2305082.5,Saturn,-1348136578.496836,-529904493.945364,61998747.274698
2305082.5,Uranus,2568706389.871335,1409406176.735841,-28522950.618283
2305082.5,Neptune,-3852312789.544183,2129666485.487253,40784380.857932
2305082.5,Pluto,6222210537.097495,3019359289.825804,-2129847392.428592
2305447.5,Sun,39473676.304489,-141681688.343988,2079.161038
2305447.5,Moon,-133189.715738,359096.877249,9467.868479
2305447.5,Mercury,80430784.870145,-189027667.981253,-7598410.566463
2305447.5,Venus,-4973293.522591,-43882736.820599,3720297.578380
2305447.5,Mars,-89078264.814350,66972394.971609,7422033.407297
2305447.5,Jupiter,-568980581.119920,376912019.139875,11249547.678505
2305447.5,Saturn,-1254759239.711856,-813831520.103788,63686565.704228
2305447.5,Uranus,2447480927.220632,1578283840.892877,-26444611.799729
2305447.5,Neptune,-3937802209.445894,1980563300.708442,45938968.864455
2305447.5,Pluto,6177390660.140923,3128701042.342346,-2129018782.336522
2305812.5,Sun,38823586.999681,-141867366.422251,1461.662165
2305812.5,Moon,-230326.822309,-332094.896083,-29598.627726
2305812.5,Mercury,90746784.952383,-137926831.569317,-4500910.918037
2305812.5,Venus,140364077.585352,-180626746.899992,-6341967.711395
2305812.5,Mars,147716059.460361,-320839539.048142,-6328903.330627
2305812.5,Jupiter,-754427026.687300,29830521.490060,17076551.605400
2305812.5,Saturn,-1106408434.463775,-1069460641.008666,62673055.303831
2305812.5,Uranus,2314153756.759983,1738270664.672367,-24234630.378477
2305812.5,Neptune,-4017383946.765446,1828269578.092465,51022734.257959
2305812.5,Pluto,6130632125.431404,3236791695.000536,-2127462413.514285
2670325.5,Sun,5425591.552416,-147090205.890134,-2034.983136
2670325.5,Moon,111232.896528,374143.807348,12177.798610
2670325.5,Mercury,-10575722.988006,-214916980.658823,-4244098.523126
2670325.5,Venus,65506576.543680,-57331372.420617,-1941971.284253
2670325.5,Mars,-232612927.535090,-73381147.464811,7195018.374530
2670325.5,Jupiter,-688688201.387125,-575027275.262080,16690174.638399
2670325.5,Saturn,-1398202510.931304,-46731840.828678,55286357.779841
2670325.5,Uranus,3012084316.845116,-164949720.346206,-38630970.759919
2670325.5,Neptune,-4496061401.828816,325728605.346735,94751668.519220
2670325.5,Pluto,5788850071.190129,3871084163.804115,-2096997003.356882
2670690.5,Sun,4747854.421465,-147122358.304698,-1681.220309
2670690.5,Moon,-385895.565784,-118665.895814,10248.620106
2670690.5,Mercury,31691051.918771,-207532437.238335,-7497672.092280
2670690.5,Venus,27345265.874305,-253529373.542550,-3068662.402521
2670690.5,Mars,212151834.628236,-153478558.195661,-4970933.655108
2670690.5,Jupiter,-403711680.816540,-841435024.618226,11212898.505311
2670690.5,Saturn,-1403120148.038760,-353250895.631494,60096499.626733
2670690.5,Uranus,3004425024.002807,39081358.056758,-37531017.298820
2670690.5,Neptune,-4512207907.632085,155793486.107678,98375138.378940
2670690.5,Pluto,5728485800.248854,3970466236.042840,-2090155195.126407
2671055.5,Sun,4085175.138119,-147141032.965897,-1863.674687
2671055.5,Moon,301917.000124,-241162.302368,-26738.640197
2671055.5,Mercury,57510878.345572,-166534134.421253,-6448992.753661
2671055.5,Venus,-85547513.210542,-88050815.032888,6110221.265348
2671055.5,Mars,-243069987.985378,-154371064.777096,5586406.899159
2671055.5,Jupiter,-18180820.373523,-935214965.802209,2968930.877368
2671055.5,Saturn,-1343715945.350459,-650328084.636955,62161669.424974
2671055.5,Uranus,2982306986.544874,242386237.935032,-36251527.358990
2671055.5,Neptune,-4521794894.709428,-14392874.680733,101853893.930629
2671055.5,Pluto,5666348675.850276,4068661990.914344,-2082622562.013902
