#Pleiades SPK Reference Corpus
#Source: JPL DE SPK kernel: de440.bsp
#Kernel-SHA256: a4ce9bf9b3282becc9f4b2ac3cebe03a2ae7599981aabd7265fd8482fff7c4b5
#Coverage: geocentric ecliptic (mean geometric), TDB epochs
#Redistribution: derived from public-domain JPL DE kernel; corpus is redistributable
#Slice-Role: fast_cluster
#Columns:epoch_jd,body,x_km,y_km,z_km
2420020.5,Moon,114505.135503,-377095.533577,-34005.522971
2420020.5,Mercury,-188120252.917179,61835463.406248,6228298.230366
2420020.5,Venus,-119293837.760966,135723163.778478,-214788.221259
2420021.5,Moon,194228.396103,-347438.566265,-30665.282278
2420021.5,Mercury,-191804684.027028,56010790.659456,6252735.101296
2420021.5,Venus,-122713083.105582,133940893.532256,-35365.259144
2420022.5,Moon,264964.968383,-301325.259870,-25868.666626
2420022.5,Mercury,-195136386.914199,49988356.431214,6233209.486976
2420022.5,Venus,-126109360.908075,132067427.142230,144104.613071
2420023.5,Moon,323664.933336,-241250.115256,-19869.216569
2420023.5,Mercury,-198110196.724343,43801164.627263,6171890.166822
2420023.5,Venus,-129480212.060901,130102909.363243,323476.054696
2420024.5,Moon,367864.874309,-170179.089820,-12959.992270
2420024.5,Mercury,-200724184.320107,37480660.315462,6071115.734335
2420024.5,Venus,-132823166.193769,128047549.014981,502603.203240
2420025.5,Moon,395733.425613,-91442.286530,-5463.250914
2420025.5,Mercury,-202979174.421758,31056516.961630,5933332.983730
2420025.5,Venus,-136135743.106821,125901620.614437,681339.916974
2420026.5,Moon,406108.668658,-8625.770098,2279.914065
2420026.5,Mercury,-204878294.627797,24556517.583093,5761045.790089
2420026.5,Venus,-139415454.319174,123665465.960636,859540.018315
2420027.5,Moon,398525.052451,74539.879172,9920.169728
2420027.5,Mercury,-206426565.492118,18006510.503323,5556773.841043
2420027.5,Venus,-142659804.759226,121339495.699846,1037057.540328
2420028.5,Moon,373227.639608,154293.709678,17110.701719
2420028.5,Mercury,-207630536.616120,11430422.063983,5323020.234122
2420028.5,Venus,-145866294.621592,118924190.863644,1213746.975312
2420029.5,Moon,331173.306759,226959.270486,23517.942589
2420029.5,Mercury,-208497969.879369,4850310.996910,5062246.794451
2420029.5,Venus,-149032421.393314,116420104.355206,1389463.523038
2420030.5,Moon,274020.679740,289058.976241,28832.163639
2420030.5,Mercury,-209037568.305822,-1713548.260556,4776855.939081
2420030.5,Venus,-152155682.025826,113827862.368175,1564063.337215
2420031.5,Moon,204111.566734,337429.429244,32778.080779
