#Pleiades SPK Reference Corpus
#Source: NASA/JPL Horizons reference snapshot (independent of the de440 corpus)
#Kernel-SHA256: a4ce9bf9b3282becc9f4b2ac3cebe03a2ae7599981aabd7265fd8482fff7c4b5
#Coverage: geocentric ecliptic (mean geometric), TDB epochs
#Redistribution: derived from public-domain JPL Horizons fixture; corpus is redistributable
#Slice-Role: fixture_golden
#Columns:epoch_jd,body,x_km,y_km,z_km
2451545,Jupiter,625066658.334495,294907383.155624,-15226250.523562
2451545,Mars,234547174.319272,-146704349.420574,-5155677.809842
2451545,Mercury,7037307.321577,-211610572.056073,-3679243.194324
2451545,Moon,-291608.384188,-274979.741673,36271.196627
2451545,Neptune,2541545505.165144,-3883411835.960304,19032828.563267
2451545,Pluto,-1450831888.629364,-4327272164.329045,875216091.944427
2451545,Ceres,-329443324.825066,-25694279.202558,69265258.781559
2451545,Pallas,-99333486.484985,102698600.157599,-160650970.594171
2451545,Juno,83971143.370199,-596846128.487785,100330099.458738
2451545,Vesta,-175993717.609774,-394994978.198842,32149464.540271
2451545,Saturn,984884392.593152,838158986.166779,-55212368.549329
2451545,Sun,26499033.677430,-144697296.792549,611.149426
2451545,Uranus,2185473853.206229,-2199322833.260767,-35624890.167444
2451545,Venus,-80957460.374760,-149582311.768422,6136245.449144
2451545,asteroid:433-Eros,-152571435.759049,-228663775.224585,-37332962.900759
2451545,asteroid:99942-Apophis,-128772440.403254,-166508332.509530,-2616026.236698
