#Pleiades SPK Reference Corpus
#Source: JPL DE SPK kernel: de440.bsp
#Kernel-SHA256: a4ce9bf9b3282becc9f4b2ac3cebe03a2ae7599981aabd7265fd8482fff7c4b5
#Coverage: geocentric ecliptic (mean geometric), TDB epochs
#Redistribution: derived from public-domain JPL DE kernel; corpus is redistributable
#Slice-Role: interior
#Columns:epoch_jd,body,x_km,y_km,z_km
2415020.5,Sun,29453955.904506,-144115464.500509,701.805465
2415200.5,Sun,-24095420.441097,150186293.178723,-786.753790
2415380.5,Sun,15879259.884531,-146244480.015917,599.693528
2415560.5,Sun,-10877044.924614,151687648.812637,-226.892793
2415740.5,Sun,2148321.052632,-147120920.251145,-357.261440
2415920.5,Sun,2414302.692310,152006700.893873,514.011349
2416100.5,Sun,-11600250.715495,-146740540.219372,-818.381202
2416280.5,Sun,15695372.570424,151152986.431748,953.952965
2416460.5,Sun,-25237774.316912,-145100109.959384,-336.223753
2416640.5,Sun,28852042.386370,149126738.958836,217.859491
2416820.5,Sun,-38658051.732077,-142217090.178723,-170.585766
2417000.5,Sun,41789738.129159,145924883.949376,80.192539
2417180.5,Sun,-51737969.842068,-138118950.619698,-656.276466
2417360.5,Sun,54395771.010354,141577984.744112,1015.795592
2417540.5,Sun,-64392780.553229,-132835871.443057,-1608.035346
2417720.5,Sun,66561705.498868,136129523.547318,1752.811444
2417900.5,Sun,-76505271.205067,-126421651.540564,-1848.603193
2418080.5,Sun,78224094.053959,129608345.125114,1685.557305
2418260.5,Sun,-87954705.202513,-118945648.033038,-1386.625069
2418440.5,Sun,89269560.423043,122069008.857818,1323.766595
2418620.5,Sun,-98668069.150224,-110465599.110904,-1497.759352
2418800.5,Sun,99595404.848157,113562196.617182,1373.423825
2418980.5,Sun,-108544546.039757,-101060423.801738,-1888.028242
2419160.5,Sun,109129493.684701,104155134.039504,2156.974083
2419340.5,Sun,-117513382.711765,-90791890.758687,-2118.317863
2419520.5,Sun,117796943.039416,93922588.907836,2006.168727
2419700.5,Sun,-125507441.448210,-79759085.107256,-2025.916307
2419880.5,Sun,125533466.261648,82925432.652767,1740.973992
2420060.5,Sun,-132454100.149625,-68081844.528005,-1882.942742
2420240.5,Sun,132259158.811328,71265375.238153,2062.760835
2420420.5,Sun,-138310665.468300,-55837841.592138,-2276.521452
2420600.5,Sun,137905623.857279,59044954.153101,2630.170153
2420780.5,Sun,-143022313.215330,-43132893.126891,-2783.494466
2420960.5,Sun,142442432.563683,46330576.844781,2745.155159
2421140.5,Sun,-146549603.828934,-30070249.851951,-2453.172896
2421320.5,Sun,145821942.671517,33237461.629476,2244.004660
2421500.5,Sun,-148884656.338580,-16756058.067661,-2168.577592
2421680.5,Sun,148005257.850981,19868705.133429,1879.804018
2421860.5,Sun,-150015107.643559,-3320792.148527,-2219.087468
2422040.5,Sun,148976010.979124,6345339.941367,2396.871838
2422220.5,Sun,-149932230.655946,10154451.607788,-2553.274086
2422400.5,Sun,148721302.135033,-7213590.593015,2613.148812
2422580.5,Sun,-148635023.978651,23548882.414740,-2413.431012
2422760.5,Sun,147231040.024752,-20726550.077247,2115.887307
2422940.5,Sun,-146140738.473381,36739180.621406,-1881.207271
2423120.5,Sun,144511064.946280,-34067970.864691,1763.054478
2423300.5,Sun,-142479862.143666,49650372.747798,-1752.905167
2423480.5,Sun,140579018.813538,-47116217.745684,2033.069458
2423660.5,Sun,-137693721.716149,62166487.575525,-2436.224798
2423840.5,Sun,135474040.927804,-59779468.233432,2553.984180
2424020.5,Sun,-131811479.431414,74190850.746379,-2470.835650
2424200.5,Sun,129234780.798348,-71936718.398320,2240.465422
2424380.5,Sun,-124888567.463871,85620613.685939,-1780.226849
2424560.5,Sun,121892819.451516,-83490841.279020,1310.221058
2424740.5,Sun,-116990539.300539,96358114.802416,-1050.698312
2424920.5,Sun,113511900.643128,-94335272.227299,1096.917258
