# JPL Horizons reference snapshot.
# Source: NASA/JPL Horizons API, DE441, geocentric ecliptic J2000, TDB 2451545.0.
# Coverage: Sun, Moon, Mercury, Venus, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto at J2000.
# Columns: body,x_km,y_km,z_km
Sun,26499033.6774305,-144697296.7925493,611.1494259536266
Moon,-291608.3841877129,-274979.7416731504,36271.19662699287
Mercury,7037307.321576774,-211610572.0560733,-3679243.194323599
Venus,-80957460.37476008,-149582311.7684218,6136245.449144349
Mars,234547174.3192725,-146704349.4205745,-5155677.809842072
Jupiter,625066658.334495,294907383.1556236,-15226250.52356151
Saturn,984884392.5931522,838158986.1667787,-55212368.54932925
Uranus,2185473853.206229,-2199322833.260767,-35624890.16744351
Neptune,2541545505.165144,-3883411835.960304,19032828.56326747
Pluto,-1450831888.629364,-4327272164.329045,875216091.9444269
