# JPL Horizons reference snapshot.
# Source: NASA/JPL Horizons API, DE441, geocentric ecliptic J2000 vector tables.
# Coverage: selected bodies sampled at 1500-01-01 for Sun, Moon, Mercury, Venus; selected bodies sampled at 1600-01-11 for Sun, Moon, Mercury, Venus, Mars, Jupiter, Uranus, Neptune; major bodies sampled at 1749-12-31 for Sun through Neptune; selected bodies sampled at 1750-01-01 for Sun, Moon, Mercury, Venus, Mars, Jupiter, Saturn, Uranus, Neptune; inner planets sampled across 1800-2500; major bodies sampled at 1800-01-03 for Sun through Pluto; selected bodies sampled at 1900-01-01 for Sun, Moon, Mercury, Venus; major bodies sampled at 2400000, 2451545, 2451910.5, 2451911.5, 2451912.5, 2451913.5, 2451914.0, 2451914.5, 2451915.0, 2451915.5, 2451916.0, 2451916.5, 2451917.0, 2451917.5, 2451918.5, 2451919.5, 2451920.5, 2453000.5, and 2500000; major bodies sampled at 2451915.5 for Sun through Pluto; Mars sampled at 2600000 and 2634167 for outer boundary coverage; major bodies sampled at 2451913.5 through 2451917.5 for additional boundary coverage; selected asteroids sampled at J2000, 2378498.5, 2451910.5 through 2451919.5, with 2451914.0, 2451914.5, 2451915.0, 2451915.5, 2451918.5, and 2451919.5 boundary coverage, 1800-01-03, 2003-12-27, 2132-08-31, 2500-01-01, and 2634167.
# Columns: epoch_jd,body,x_km,y_km,z_km
2268932.500000000,Sun,6.547496954571565E+07,-1.317887085809899E+08,-1.453558178649470E+05
2268932.500000000,Moon,1.352922208710542E+05,-3.325922372895340E+05,-1.602357430036223E+04
2268932.500000000,Mercury,8.436470835690022E+07,-1.962047453387198E+08,-7.122977130192369E+06
2268932.500000000,Venus,1.082511702759192E+08,-2.319029078137515E+08,-3.859649104206264E+06
2305457.500000000,Sun,6.394715261680453E+07,-1.325309354774390E+08,-1.170116669198647E+05
2305457.500000000,Moon,-2.390906589837117E+05,-3.163916505458906E+05,-3.534186125856389E+04
2305457.500000000,Mercury,1.176949368000107E+08,-1.422973568281318E+08,-5.898108151508063E+06
2305457.500000000,Venus,-6.023920572548158E+06,-5.113502120272339E+07,4.965074936974730E+06
2305457.500000000,Mars,-8.113168720235768E+07,6.619435854355092E+07,7.706247187038343E+06
2305457.500000000,Jupiter,-5.518923953105060E+08,3.779304071482636E+08,1.179901212172201E+07
2305457.500000000,Uranus,2.468490825466614E+09,1.591950054485608E+09,-2.494067934424067E+07
2305457.500000000,Neptune,-3.915570707063991E+09,1.985544998938299E+09,4.788161662675989E+07
2360233.500000000,Sun,33196061.6635503508,-143286842.6002491117,-80567.6543003395
2360233.500000000,Moon,-401843.4420830027,-26485.5486045949,-36735.9604079907
2360233.500000000,Mercury,15472293.2182906196,-210696083.1641443968,-3926934.6711539631
2360233.500000000,Venus,105081451.2027845979,-62587825.4952094629,-3196880.3734643911
2360233.500000000,Mars,211835491.9485841095,-22519472.9303396009,-2048352.4428155210
