mode_code,jd_tt,se_ayanamsa_deg
FaganBradley,2415020.5,23.343738216
FaganBradley,2420000.5,23.534118832
FaganBradley,2424152,23.692835415
FaganBradley,2429000.5,23.878209147
FaganBradley,2433282.5,24.041932764
FaganBradley,2438000.5,24.222336751
FaganBradley,2451545,24.740299966
FaganBradley,2460676.5,25.089550710
FaganBradley,2469807,25.438801590
FaganBradley,2488070,26.137495014
Lahiri,2415020.5,22.460530593
Lahiri,2420000.5,22.650911207
Lahiri,2424152,22.809627787
Lahiri,2429000.5,22.995001517
Lahiri,2433282.5,23.158725131
Lahiri,2438000.5,23.339129116
Lahiri,2451545,23.857092325
Lahiri,2460676.5,24.206343066
Lahiri,2469807,24.555593943
Lahiri,2488070,25.254287362
Raman,2415020.5,21.014229126
Raman,2420000.5,21.204609765
Raman,2424152,21.363326365
Raman,2429000.5,21.548700117
Raman,2433282.5,21.712423749
Raman,2438000.5,21.892827754
Raman,2451545,22.410791012
Raman,2460676.5,22.760041781
Raman,2469807,23.109292682
Raman,2488070,23.807986135
Krishnamurti,2415020.5,22.363678126
Krishnamurti,2420000.5,22.554058765
Krishnamurti,2424152,22.712775365
Krishnamurti,2429000.5,22.898149117
Krishnamurti,2433282.5,23.061872749
Krishnamurti,2438000.5,23.242276754
Krishnamurti,2451545,23.760240012
Krishnamurti,2460676.5,24.109490781
Krishnamurti,2469807,24.458741682
Krishnamurti,2488070,25.157435135
TrueChitra,2415020.5,22.444754617
TrueChitra,2420000.5,22.632944017
TrueChitra,2424152,22.793566870
TrueChitra,2429000.5,22.985675678
TrueChitra,2433282.5,23.142276703
TrueChitra,2438000.5,23.319862047
TrueChitra,2451545,23.840014948
TrueChitra,2460676.5,24.188979911
TrueChitra,2469807,24.537847007
TrueChitra,2488070,25.235960786
TrueCitra,2415020.5,22.444754617
TrueCitra,2420000.5,22.632944017
TrueCitra,2424152,22.793566870
TrueCitra,2429000.5,22.985675678
TrueCitra,2433282.5,23.142276703
TrueCitra,2438000.5,23.319862047
TrueCitra,2451545,23.840014948
TrueCitra,2460676.5,24.188979911
TrueCitra,2469807,24.537847007
TrueCitra,2488070,25.235960786
