# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2).
# geo Sun/Moon: swe_solcross_ut / swe_mooncross_ut (UT), TDB via swe_deltat.
# geo planets: bisection on swe_calc geocentric longitude (no SE geo planet-cross fn); Mars block retains the retrograde triple-crossing.
# helio: swe_helio_cross (ET/TDB), iflag=SEFLG_MOSEPH|SEFLG_HELCTR, dir=+1.
# All rows forward (next crossing after start); times TDB within 1900-2100.
frame,body,target_longitude_deg,start_jd_tdb,direction,crossing_jd_tdb,pleiades_jd_tdb
geo,Sun,0.000000,2416000.500000,fwd,2416195.301931810,2416195.302019119
geo,Sun,90.000000,2416000.500000,fwd,2416288.128441458,2416288.128522873
geo,Sun,180.000000,2416000.500000,fwd,2416016.496760817,2416016.496843338
geo,Sun,270.000000,2416000.500000,fwd,2416106.274668484,2416106.274755478
geo,Sun,137.500000,2416000.500000,fwd,2416337.868388209,2416337.868474960
geo,Sun,0.000000,2440000.500000,fwd,2440301.297738484,2440301.297758102
geo,Sun,90.000000,2440000.500000,fwd,2440028.842979759,2440028.843015671
geo,Sun,180.000000,2440000.500000,fwd,2440122.476942303,2440122.476972580
geo,Sun,270.000000,2440000.500000,fwd,2440212.291945475,2440212.291967392
geo,Sun,137.500000,2440000.500000,fwd,2440078.585904817,2440078.585947037
geo,Sun,0.000000,2470000.500000,fwd,2470251.167027469,2470251.166990280
geo,Sun,90.000000,2470000.500000,fwd,2470343.888903460,2470343.888849258
geo,Sun,180.000000,2470000.500000,fwd,2470072.312393385,2470072.312356949
geo,Sun,270.000000,2470000.500000,fwd,2470162.194455145,2470162.194437027
geo,Sun,137.500000,2470000.500000,fwd,2470028.395839880,2470028.395811081
geo,Moon,0.000000,2420000.500000,fwd,2420026.705255931,2420026.704771042
geo,Moon,90.000000,2420000.500000,fwd,2420006.704398802,2420006.704584122
geo,Moon,180.000000,2420000.500000,fwd,2420012.824228002,2420012.824628830
geo,Moon,270.000000,2420000.500000,fwd,2420019.255201579,2420019.255086899
geo,Moon,45.000000,2420000.500000,fwd,2420003.215528454,2420003.215410233
geo,Moon,0.000000,2450000.500000,fwd,2450025.306657482,2450025.306329727
geo,Moon,90.000000,2450000.500000,fwd,2450005.264548465,2450005.264379501
geo,Moon,180.000000,2450000.500000,fwd,2450012.511182191,2450012.511541367
geo,Moon,270.000000,2450000.500000,fwd,2450018.802473966,2450018.802713394
geo,Moon,45.000000,2450000.500000,fwd,2450001.533693622,2450001.533277512
geo,Moon,0.000000,2480000.500000,fwd,2480024.986147906,2480024.986150742
geo,Moon,90.000000,2480000.500000,fwd,2480003.930456961,2480003.930063248
geo,Moon,180.000000,2480000.500000,fwd,2480011.000337938,2480011.000452042
geo,Moon,270.000000,2480000.500000,fwd,2480018.383017047,2480018.383443832
geo,Moon,45.000000,2480000.500000,fwd,2480000.809421244,2480000.809068680
geo,Mars,337.000000,2452791.500000,fwd,2452827.515230295,2452827.502061844
geo,Mars,337.000000,2452832.000000,fwd,2452872.656276730,2452872.678838730
geo,Mars,337.000000,2452878.000000,fwd,2452943.678600890,2452943.671426773
geo,Mercury,115.436971,2440000.500000,fwd,2440066.522000355,2440066.524751663
geo,Mercury,175.436971,2440000.500000,fwd,2440098.233442766,2440098.236886978
geo,Mercury,235.436971,2440000.500000,fwd,2440185.148255602,2440185.151872635
geo,Venus,85.443156,2440000.500000,fwd,2440024.930219513,2440024.934759140
geo,Venus,145.443156,2440000.500000,fwd,2440073.708464629,2440073.712957382
geo,Venus,205.443156,2440000.500000,fwd,2440122.484770952,2440122.489007950
geo,Jupiter,177.348032,2440000.500000,fwd,2440161.462707440,2440161.485578537
geo,Jupiter,237.348032,2440000.500000,fwd,2440951.267288581,2440951.290281296
geo,Jupiter,297.348032,2440000.500000,fwd,2441724.746708412,2441724.770235062
geo,Saturn,51.178165,2440000.500000,fwd,2440793.167220622,2440793.193609238
geo,Saturn,111.178165,2440000.500000,fwd,2442598.887531725,2442598.930917740
geo,Saturn,171.178165,2440000.500000,fwd,2444159.148042190,2444159.190664291
geo,Uranus,205.110669,2440000.500000,fwd,2441999.714759346,2441999.803567886
geo,Uranus,265.110669,2440000.500000,fwd,2446824.276623127,2446824.365812302
geo,Uranus,325.110669,2440000.500000,fwd,2452324.251873068,2452324.351709366
geo,Neptune,264.947780,2440000.500000,fwd,2444965.096334380,2444965.250223160
geo,Neptune,324.947780,2440000.500000,fwd,2454902.373972093,2454902.520975113
geo,Neptune,24.947780,2440000.500000,fwd,2464814.712013835,2464814.854001999
geo,Pluto,200.185697,2440000.500000,fwd,2444186.663891022,2444186.813226700
geo,Pluto,260.185697,2440000.500000,fwd,2452997.084164145,2452997.237604141
geo,Pluto,320.185697,2440000.500000,fwd,2464760.170916487,2464760.363649368
helio,Mercury,0.000000,2430000.500000,fwd,2430024.389258318,2430024.387220383
helio,Mercury,180.000000,2430000.500000,fwd,2430057.227523108,2430057.225282669
helio,Mercury,0.000000,2460000.500000,fwd,2460021.670865629,2460021.668813705
helio,Mercury,180.000000,2460000.500000,fwd,2460054.456389973,2460054.454149246
helio,Venus,0.000000,2430000.500000,fwd,2430085.707947754,2430085.703798294
helio,Venus,180.000000,2430000.500000,fwd,2430197.322104857,2430197.317991257
helio,Venus,0.000000,2460000.500000,fwd,2460194.891013095,2460194.886827469
helio,Venus,180.000000,2460000.500000,fwd,2460081.822535984,2460081.818399429
helio,Mars,0.000000,2430000.500000,fwd,2430250.752713738,2430250.744672775
helio,Mars,180.000000,2430000.500000,fwd,2430611.546207006,2430611.536798477
helio,Mars,0.000000,2460000.500000,fwd,2460476.119485822,2460476.111379623
helio,Mars,180.000000,2460000.500000,fwd,2460148.988146656,2460148.978528976
helio,Jupiter,0.000000,2430000.500000,fwd,2433822.977420580,2433822.949598312
helio,Jupiter,180.000000,2430000.500000,fwd,2431625.974458149,2431625.942731857
helio,Jupiter,0.000000,2460000.500000,fwd,2464140.105218433,2464140.076307297
helio,Jupiter,180.000000,2460000.500000,fwd,2461940.761238416,2461940.729322433
helio,Saturn,0.000000,2430000.500000,fwd,2439500.066526995,2439500.011663437
helio,Saturn,180.000000,2430000.500000,fwd,2433755.771632897,2433755.717752457
helio,Saturn,0.000000,2460000.500000,fwd,2460984.440727344,2460984.385519028
helio,Saturn,180.000000,2460000.500000,fwd,2465984.189118464,2465984.130823135
helio,Uranus,0.000000,2430000.500000,fwd,2455591.202445377,2455591.083597183
helio,Uranus,180.000000,2430000.500000,fwd,2440151.340178595,2440151.230669022
helio,Uranus,0.000000,2460000.500000,fwd,2486163.948944598,2486163.836420059
helio,Uranus,180.000000,2460000.500000,fwd,2470746.194510989,2470746.094575882
helio,Neptune,0.000000,2430000.500000,fwd,2460818.784609910,2460818.595453262
helio,Neptune,180.000000,2430000.500000,fwd,2430689.791609904,2430689.624219894
helio,Pluto,0.000000,2430000.500000,fwd,2476252.935667573,2476252.724123001
helio,Pluto,180.000000,2430000.500000,fwd,2441287.618583047,2441287.465887070
