kind,type,greatest_eclipse_jd_tt,magnitude,saros,eclipsed_longitude_deg
lunar,penumbral,2415508.27127,1.0431,110,222.60718
solar,total,2415522.73181,1.0680,136,56.57100
lunar,partial,2415685.13563,0.2208,115,33.51066
solar,annular,2415699.81135,0.9216,141,228.22210
solar,partial,2415848.08688,0.0643,108,17.80530
lunar,total,2415862.28657,1.3327,120,211.69785
solar,partial,2415877.44046,0.8593,146,46.40841
lunar,total,2416039.75238,1.4566,125,22.93390
solar,partial,2416053.83354,0.6960,151,216.96662
solar,annular,2416202.56624,0.9767,118,7.19726
lunar,partial,2416216.50902,0.9677,130,200.92394
solar,total,2416378.69435,1.0316,123,177.01936
lunar,partial,2416394.13719,0.8654,135,12.18697
lunar,penumbral,2416541.62678,0.1748,102,161.12711
solar,annular,2416556.73662,0.9367,128,356.21891
lunar,penumbral,2416571.02255,0.7036,140,190.37178
solar,total,2416733.36413,1.0709,133,166.70574
lunar,penumbral,2416748.23245,0.5440,145,1.22067
lunar,partial,2416896.29169,0.4049,112,150.48904
solar,annular,2416910.71697,0.9269,138,344.97691
lunar,partial,2417072.65346,0.2871,117,321.62692
solar,total,2417088.04683,1.0477,143,156.46660
lunar,total,2417250.82428,1.6254,122,139.67112
solar,partial,2417264.82176,0.5386,148,333.79791
solar,partial,2417413.05161,0.3355,115,117.83855
lunar,total,2417427.04178,1.7793,127,311.21405
solar,partial,2417442.55058,0.3147,153,146.10376
solar,total,2417589.75397,1.0281,120,292.93787
lunar,partial,2417605.06806,0.7110,132,128.51811
solar,annular,2417767.14204,0.9456,125,107.20254
lunar,partial,2417781.68226,0.6149,137,301.07702
solar,total,2417944.40650,1.0437,130,282.14187
lunar,penumbral,2417959.05667,0.5370,142,117.06984
lunar,penumbral,2418107.08787,0.8135,109,263.07386
solar,annular,2418121.18740,0.9655,135,96.52533
lunar,penumbral,2418136.39855,0.2292,147,291.02800
lunar,penumbral,2418283.41330,1.0344,114,75.43118
solar,hybrid,2418298.98921,1.0024,140,271.28174
lunar,total,2418461.56170,1.1580,119,252.77770
solar,hybrid,2418475.47127,1.0065,145,86.07117
lunar,total,2418637.87131,1.3660,124,64.49156
solar,partial,2418653.32278,0.5424,150,260.17572
solar,total,2418800.73765,1.0600,117,47.71655
lunar,total,2418815.73213,1.0950,129,242.16429
solar,partial,2418977.58926,0.8515,122,218.78243
lunar,total,2418992.51449,1.1246,134,53.78186
solar,total,2419155.43567,1.0562,127,37.50061
lunar,penumbral,2419169.74750,0.7987,139,231.35790
solar,annular,2419331.67572,0.9650,132,207.64383
lunar,penumbral,2419347.15052,0.8154,144,43.11093
lunar,partial,2419494.42657,0.1820,111,191.81798
solar,hybrid,2419509.98220,1.0003,137,27.08470
lunar,partial,2419671.98947,0.1183,116,3.00569
solar,total,2419686.06683,1.0229,142,196.87450
lunar,total,2419848.99848,1.5683,121,181.26704
solar,partial,2419864.23133,0.4244,147,16.30984
solar,partial,2420011.36958,0.1513,114,157.81347
lunar,total,2420026.03355,1.4304,126,352.05812
solar,partial,2420040.69848,0.8252,152,186.41638
solar,annular,2420188.50904,0.9248,119,335.56338
lunar,partial,2420203.67579,0.9111,131,170.75603
solar,total,2420366.02392,1.0328,124,147.59263
lunar,partial,2420380.07983,0.8585,136,341.17507
lunar,penumbral,2420528.70674,0.0451,103,130.24717
solar,annular,2420542.68981,0.9789,129,324.41217
lunar,penumbral,2420558.26356,0.5548,141,160.09588
lunar,penumbral,2420705.01712,0.3545,108,302.42559
solar,annular,2420720.45307,0.9853,134,137.20157
lunar,penumbral,2420734.39395,0.5750,146,330.61053
lunar,partial,2420882.86089,0.1327,113,118.97261
solar,total,2420897.16691,1.0280,139,313.51077
lunar,partial,2421059.69869,0.7944,118,292.34356
solar,annular,2421074.58762,0.9447,144,126.56153
solar,partial,2421222.36553,0.0114,111,272.75165
lunar,total,2421236.82278,1.3642,123,107.48711
solar,partial,2421251.81147,0.7254,149,302.74996
solar,partial,2421399.05302,0.4729,116,87.65467
lunar,total,2421414.40213,1.6185,128,282.29222
solar,partial,2421428.61299,0.0863,154,115.84502
solar,annular,2421576.89398,0.9791,121,261.84033
lunar,total,2421590.90731,1.0056,133,96.11263
solar,total,2421753.42203,1.0292,126,77.27038
lunar,partial,2421768.93615,0.1297,138,272.08483
solar,annular,2421931.14030,0.9383,131,250.66652
lunar,penumbral,2421945.29584,0.8340,143,85.05441
lunar,penumbral,2422093.55139,0.9103,110,233.16412
solar,total,2422108.04786,1.0719,136,67.10344
lunar,partial,2422270.48921,0.1780,115,44.52083
solar,annular,2422285.13486,0.9198,141,239.27584
lunar,total,2422447.57718,1.2194,120,222.32362
solar,partial,2422462.76036,0.9734,146,56.98756
lunar,total,2422625.09141,1.3987,125,33.86329
solar,partial,2422639.16128,0.7420,151,227.96520
solar,annular,2422787.88543,0.9753,118,17.99556
lunar,total,2422801.82267,1.0678,130,211.63275
solar,total,2422964.02498,1.0293,123,187.78447
lunar,partial,2422979.45416,0.9317,135,23.03326
lunar,penumbral,2423126.97833,0.1320,102,172.11200
solar,annular,2423142.04544,0.9381,128,7.07134
lunar,penumbral,2423156.35569,0.7812,140,201.16060
solar,total,2423318.69480,1.0678,133,177.40984
lunar,penumbral,2423333.53044,0.6358,145,11.98056
lunar,partial,2423481.64733,0.3701,112,161.54192
solar,annular,2423496.03123,0.9310,138,355.91000
lunar,partial,2423657.94435,0.1634,117,332.16144
solar,total,2423673.36631,1.0430,143,167.09960
lunar,total,2423836.17286,1.5995,122,150.76776
solar,partial,2423850.15579,0.5819,148,344.81346
solar,partial,2423998.33218,0.1920,115,128.28545
lunar,total,2424012.34757,1.6519,127,321.72181
solar,partial,2424027.84931,0.4245,153,156.66409
solar,total,2424175.12087,1.0304,120,304.13680
lunar,partial,2424190.40442,0.7304,132,139.64555
solar,annular,2424352.40882,0.9436,125,117.61459
lunar,partial,2424366.99510,0.7463,137,311.55835
solar,total,2424529.77567,1.0430,130,293.35436
lunar,penumbral,2424544.38917,0.5551,142,128.22304
lunar,penumbral,2424692.39244,0.6749,109,273.53245
solar,annular,2424706.46252,0.9680,135,106.94739
lunar,penumbral,2424721.70847,0.3542,147,301.49518
lunar,penumbral,2424868.76397,1.0257,114,86.59687
solar,annular,2424884.34922,0.9995,140,282.47753
lunar,total,2425046.85047,1.0123,119,263.24215
solar,total,2425060.76628,1.0128,145,96.51932
lunar,total,2425223.23275,1.3510,124,75.64063
