# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_lun_eclipse_when/how + swe_azalt, iflag=SEFLG_MOSEPH.
# Local lunar-eclipse circumstances. Times are TT (Terrestrial Time) Julian days: eclipse instants are DYNAMICAL, matching the engine and the global corpus's greatest_eclipse_jd_tt (contrast rise-trans, which is UT). SE returns UT; converted TT = jd_ut + swe_deltat(jd_ut). Shadow contacts P1/U1/U2/U3/U4/P4 are GLOBAL instants (swe_lun_eclipse_when), identical for every observer; empty = absent phase (U1..U4 for penumbral-only, U2/U3 for partial-only).
# se_type = SE return flag & SE_ECL_ALLTYPES_LUNAR (4=total,16=partial,64=penumbral). se_umbral_mag=attr[0], se_penumbral_mag=attr[1] (swe_lun_eclipse_how at maximum).
# Moon azimuth from SOUTH increasing WESTWARD [0,360) (swe_azalt native); true/apparent altitude in degrees at the maximum. Az/alt computed at the engine-consumed numeric JD (the TT instant: swe_calc position at TT, swe_azalt rotation with that same J as UT1). se_any_visible=1 if the Moon is above the horizon (apparent alt>0) at maximum, else 0.
label,lat_deg,lon_deg,elev_m,se_max_jd_tt,se_p1_jd_tt,se_u1_jd_tt,se_u2_jd_tt,se_u3_jd_tt,se_u4_jd_tt,se_p4_jd_tt,se_type,se_umbral_mag,se_penumbral_mag,se_max_az_deg,se_max_true_alt_deg,se_max_app_alt_deg,se_any_visible
2018TLE_CapeTown,-33.9200,18.4200,42.0,2458327.349252868,2458327.219407286,2458327.267811343,2458327.313517635,2458327.384987979,2458327.430695582,2458327.479088885,4,1.608371,2.679401,255.475868653,52.992627862,53.004659612,1
2018TLE_Rome,41.9000,12.5000,21.0,2458327.349252868,2458327.219407286,2458327.267811343,2458327.313517635,2458327.384987979,2458327.430695582,2458327.479088885,4,1.608371,2.679401,317.167907040,16.260570448,16.314754120,1
2018TLE_Delhi,28.6100,77.2100,216.0,2458327.349252868,2458327.219407286,2458327.267811343,2458327.313517635,2458327.384987979,2458327.430695582,2458327.479088885,4,1.608371,2.679401,25.926477025,37.441704929,37.462540428,1
2018TLE_Nairobi,-1.2900,36.8200,1795.0,2458327.349252868,2458327.219407286,2458327.267811343,2458327.313517635,2458327.384987979,2458327.430695582,2458327.479088885,4,1.608371,2.679401,314.609302959,63.876794292,63.884623709,1
2018TLE_Moscow,55.7500,37.6200,156.0,2458327.349252868,2458327.219407286,2458327.267811343,2458327.313517635,2458327.384987979,2458327.430695582,2458327.479088885,4,1.608371,2.679401,342.229368817,12.818550877,12.886964738,1
2018TLE_Sydney,-33.8700,151.2100,58.0,2458327.349252868,2458327.219407286,2458327.267811343,2458327.313517635,2458327.384987979,2458327.430695582,2458327.479088885,4,1.608371,2.679401,71.297266751,5.327080376,5.477461448,1
2018TLE_LosAngeles_down,34.0500,-118.2400,89.0,2458327.349252868,2458327.219407286,2458327.267811343,2458327.313517635,2458327.384987979,2458327.430695582,2458327.479088885,4,1.608371,2.679401,200.579508214,-74.280369537,-74.280369537,0
2018TLE_NYC_down,40.7100,-74.0100,10.0,2458327.349252868,2458327.219407286,2458327.267811343,2458327.313517635,2458327.384987979,2458327.430695582,2458327.479088885,4,1.608371,2.679401,258.368058107,-42.868951982,-42.868951982,0
2019PLE_Rome,41.9000,12.5000,21.0,2458681.397117591,2458681.281224302,2458681.335299623,,,2458681.458934911,2458681.513089734,16,0.653662,1.704467,333.894035583,20.940505992,20.982117006,1
2019PLE_Cairo,30.0400,31.2400,23.0,2458681.397117591,2458681.281224302,2458681.335299623,,,2458681.458934911,2458681.513089734,16,0.653662,1.704467,351.345355146,36.865970895,36.887245261,1
2019PLE_Johannesburg,-26.2000,28.0500,1753.0,2458681.397117591,2458681.281224302,2458681.335299623,,,2458681.458934911,2458681.513089734,16,0.653662,1.704467,248.132811188,79.258730460,79.261759597,1
2019PLE_London,51.5100,-0.1300,11.0,2458681.397117591,2458681.281224302,2458681.335299623,,,2458681.458934911,2458681.513089734,16,0.653662,1.704467,323.961008442,8.227807344,8.331624257,1
2019PLE_Delhi,28.6100,77.2100,216.0,2458681.397117591,2458681.281224302,2458681.335299623,,,2458681.458934911,2458681.513089734,16,0.653662,1.704467,40.635397012,26.460340320,26.492365293,1
2019PLE_LosAngeles_down,34.0500,-118.2400,89.0,2458681.397117591,2458681.281224302,2458681.335299623,,,2458681.458934911,2458681.513089734,16,0.653662,1.704467,245.126385506,-66.663529824,-66.663529824,0
2020NLE_Delhi,28.6100,77.2100,216.0,2458859.299508995,2458859.214538046,,,,,2458859.384429602,64,0.000000,0.895464,27.195143961,83.626194355,83.627978149,1
2020NLE_Moscow,55.7500,37.6200,156.0,2458859.299508995,2458859.214538046,,,,,2458859.384429602,64,0.000000,0.895464,305.596495556,47.022032449,47.036903901,1
2020NLE_Beijing,39.9000,116.4100,44.0,2458859.299508995,2458859.214538046,,,,,2458859.384429602,64,0.000000,0.895464,77.543209228,49.984019011,49.997419693,1
2020NLE_Rome,41.9000,12.5000,21.0,2458859.299508995,2458859.214538046,,,,,2458859.384429602,64,0.000000,0.895464,270.103424500,35.124859628,35.147535946,1
2020NLE_London,51.5100,-0.1300,11.0,2458859.299508995,2458859.214538046,,,,,2458859.384429602,64,0.000000,0.895464,266.932190113,26.605861693,26.637684399,1
2020NLE_NYC_down,40.7100,-74.0100,10.0,2458859.299508995,2458859.214538046,,,,,2458859.384429602,64,0.000000,0.895464,211.100549806,-20.650127920,-20.650127920,0
