# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_sol_eclipse_when_glob/when_loc/how + swe_azalt, iflag=SEFLG_MOSEPH.
# Local (topocentric) solar-eclipse circumstances. Times are UT Julian days. Anchored to the eclipse via when_glob; when_loc gives topocentric contacts when locally visible.
# se_max_jd_ut: local maximum (when_loc) if visible, else global maximum (when_glob). se_c*_jd_ut: C1..C4 topocentric contacts; empty = absent (C2/C3 for partial-only, or all when not locally visible).
# se_local_type = SE return flag & SE_ECL_ALLTYPES_SOLAR (4=total,8=annular,16=partial,32=annular-total,0=none-here). se_magnitude=diameter fraction (attr[0]); se_obscuration=area fraction (attr[2]).
# Azimuth of Sun from SOUTH increasing WESTWARD [0,360) (swe_azalt native). se_max_true_alt/app_alt in degrees. se_any_visible=1 if the eclipse is above the horizon locally, else 0 (Sun down / no eclipse there).
label,lat_deg,lon_deg,elev_m,se_max_jd_ut,se_c1_jd_ut,se_c2_jd_ut,se_c3_jd_ut,se_c4_jd_ut,se_local_type,se_magnitude,se_obscuration,se_max_az_deg,se_max_true_alt_deg,se_max_app_alt_deg,se_any_visible
2017TSE_SalemOR,44.9400,-123.0400,60.0,2457987.221045060,2457987.170441984,2457987.220374877,2457987.221717473,2457987.276283465,4,1.010266,1.055639,297.129795542,39.926895700,39.945960544,1
2017TSE_MadrasOR,44.6300,-121.1300,683.0,2457987.222651385,2457987.171333943,2457987.221952116,2457987.223352896,2457987.278546906,4,1.011232,1.056422,299.368850442,41.628933917,41.646888489,1
2017TSE_IdahoFalls,43.4900,-112.0400,1432.0,2457987.231886953,2457987.177203634,2457987.231287182,2457987.232488264,2457987.290327049,4,1.005258,1.059722,312.428138718,49.521626173,49.535247806,1
2017TSE_KansasCity,39.1000,-94.5800,277.0,2457987.256191824,2457987.195364744,2457987.256694839,2457987.256244461,2457987.316694596,4,1.000160,1.063822,353.378561737,62.626493499,62.634759693,1
2017TSE_Nashville,36.1600,-86.7800,169.0,2457987.269745256,2457987.207321152,2457987.269114957,2457987.270373714,2457987.329218759,4,1.004483,1.063974,21.972472045,64.211460618,64.219174719,1
2017TSE_CharlestonSC,32.7800,-79.9300,6.0,2457987.282783768,2457987.220139564,2457987.282280524,2457987.283284082,2457987.340300039,4,1.003007,1.062899,47.641048277,61.497239455,61.505908682,1
2017TSE_NYC_partial,40.7100,-74.0100,10.0,2457987.281258869,2457987.224476996,,,2457987.333873619,16,0.770427,0.716758,46.410775375,52.937482750,52.949538594,1
2017TSE_LosAngeles_partial,34.0500,-118.2400,89.0,2457987.223072849,2457987.170671815,,,2457987.281145158,16,0.693690,0.621653,292.800547267,48.426308652,48.440466048,1
2017TSE_Miami_partial,25.7600,-80.1900,2.0,2457987.290611158,2457987.227085647,,,2457987.347808629,16,0.822306,0.782427,62.508625757,63.701083053,63.708973278,1
2017TSE_Tokyo_belowhoriz,35.6800,139.6900,40.0,2457987.267740425,,,,,0,0.000000,0.000000,238.575505139,-19.414157258,-19.414157258,0
2024TSE_Mazatlan,23.2200,-106.4200,10.0,2460409.256710837,2460409.202409454,2460409.255210655,2460409.258215044,2460409.314041539,4,1.022218,1.118149,316.184106356,69.123593039,69.129682538,1
2024TSE_Torreon,25.5400,-103.4100,1120.0,2460409.263272535,2460409.208343779,2460409.261842073,2460409.264705536,2460409.320534500,4,1.017716,1.118319,332.785019942,70.089862886,70.095645955,1
