# Source: JPL Horizons API (https://ssd.jpl.nasa.gov/api/horizons.api), EPHEM_TYPE=OBSERVER, CENTER='500@399',
# QUANTITIES='2' (apparent RA & DEC, true equator/equinox of date, with light-time,
# deflection, and stellar aberration), ANG_FORMAT=DEG, extra_prec=YES.
# Regenerated by crates/pleiades-validate/scripts/regen-equatorial-goldens.sh
#
# TOLERANCE RATIONALE (per-body model limits, applied to cos(Dec)-weighted RA residual
# and signed Dec residual):
#   - Sun: The RA/Dec channel converts the apparent ecliptic longitude via obliquity
#     rotation, adding a small epsilon above the ecliptic-gate's 5" floor. Max observed
#     RA residual (cos(Dec)-weighted) is ~5.06" at the 1900 epoch — the farthest from
#     J2000 in the corpus. Tolerance set to 6" (max + ~1" margin).
#   - Planets: polynomial-fit ephemeris accuracy vs JPL DE441, apparent-mode residuals
#     15-25 arcsec; tolerance 26" matches the ecliptic apparent gate.
#   - Moon: ELP2000 theory limit (annual aberration systematic), tolerance 45" unchanged.
#   - 433-Eros: EXCLUDED. Light-time iteration diverges at most epochs; see apparent gate.
#
# EPOCHS: 2415025.5 = 1900-Jan-06 TT; 2433282.5 = 1950 TT; 2451545.0 = J2000 TT;
#         2469807.5 = 2050 TT; 2488065.5 = 2099-Dec-26 TT.
body,jd_tt,apparent_ra_deg,apparent_dec_deg,ra_tolerance_arcsec,dec_tolerance_arcsec
Sun,2415025.5,286.553024272,-22.578908088,6.0,6.0
Sun,2433282.5,280.884733739,-23.070740433,6.0,6.0
Sun,2451545.0,281.278375239,-23.032430130,6.0,6.0
Sun,2469807.5,281.688838398,-22.996255809,6.0,6.0
Sun,2488065.5,277.110280726,-23.267451679,6.0,6.0
Moon,2415025.5,344.866816999,-0.808276331,45.0,45.0
Moon,2433282.5,58.451755325,24.152480764,45.0,45.0
Moon,2451545.0,222.452200851,-10.900653780,45.0,45.0
Moon,2469807.5,15.921360382,10.450352994,45.0,45.0
Moon,2488065.5,103.741757118,27.507138911,45.0,45.0
Mercury,2415025.5,265.288869569,-22.948191053,26.0,26.0
Mercury,2433282.5,301.881470650,-21.471268343,26.0,26.0
Mercury,2451545.0,272.074637466,-24.418901716,26.0,26.0
Mercury,2469807.5,270.063329176,-20.295528853,26.0,26.0
Mercury,2488065.5,282.737775524,-24.891752418,26.0,26.0
Venus,2415025.5,315.560419817,-18.671234537,26.0,26.0
Venus,2433282.5,319.234862202,-15.151215943,26.0,26.0
Venus,2451545.0,239.892759465,-18.448919196,26.0,26.0
Venus,2469807.5,282.285404475,-23.559095744,26.0,26.0
Venus,2488065.5,318.307338892,-18.097208085,26.0,26.0
Mars,2415025.5,289.346715586,-23.221106915,26.0,26.0
Mars,2433282.5,183.027933187,1.425600572,26.0,26.0
Mars,2451545.0,330.516799463,-13.182481236,26.0,26.0
Mars,2469807.5,225.478698806,-16.366606530,26.0,26.0
Mars,2488065.5,25.634775535,11.549806066,26.0,26.0
Jupiter,2415025.5,240.180170593,-19.792605505,26.0,26.0
Jupiter,2433282.5,309.048450528,-19.219106210,26.0,26.0
Jupiter,2451545.0,23.867836618,8.594261973,26.0,26.0
Jupiter,2469807.5,124.044885663,20.223306048,26.0,26.0
Jupiter,2488065.5,199.657256711,-6.932373706,26.0,26.0
Saturn,2415025.5,268.155190962,-22.436474308,26.0,26.0
Saturn,2433282.5,171.083465972,6.027991724,26.0,26.0
Saturn,2451545.0,38.765386155,12.614763512,26.0,26.0
Saturn,2469807.5,299.689186989,-20.838733372,26.0,26.0
Saturn,2488065.5,204.415022684,-7.573609227,26.0,26.0
Uranus,2415025.5,248.807496078,-21.958533574,26.0,26.0
Uranus,2433282.5,92.929757008,23.689733365,26.0,26.0
Uranus,2451545.0,317.474810891,-17.020330403,26.0,26.0
Uranus,2469807.5,171.795424265,4.394914151,26.0,26.0
Uranus,2488065.5,16.592065427,6.370381990,26.0,26.0
Neptune,2415025.5,84.696676345,22.063428096,26.0,26.0
Neptune,2433282.5,196.527072123,-5.311858970,26.0,26.0
Neptune,2451545.0,305.432831669,-19.213241047,26.0,26.0
Neptune,2469807.5,51.679714584,16.959945848,26.0,26.0
Neptune,2488065.5,168.706932309,5.894192692,26.0,26.0
Pluto,2415025.5,74.998663756,12.917065259,26.0,26.0
Pluto,2433282.5,142.965653539,23.293300452,26.0,26.0
Pluto,2451545.0,251.419169870,-11.394274163,26.0,26.0
Pluto,2469807.5,344.223429829,-20.476999047,26.0,26.0
Pluto,2488065.5,35.995595968,-3.637972685,26.0,26.0
