# Source: Swiss Ephemeris (libswisseph-sys 0.1.2), swe_calc, iflag=SEFLG_MOSEPH|SEFLG_EQUATORIAL.
# Frame: apparent equatorial of date (nutation + aberration on). Columns: jd_tt,body,ra_deg,dec_deg.
# Convention-parity reference (Moshier); ceilings are deliberately loose vs the Horizons accuracy gate.
jd_tt,body,se_ra_deg,se_dec_deg
2415025.5,Sun,286.553119968,-22.578897742
2415025.5,Moon,344.867175941,-0.808040332
2415025.5,Mercury,265.288982432,-22.948196964
2415025.5,Venus,315.560527949,-18.671209066
2415025.5,Mars,289.346803401,-23.221095940
2415025.5,Jupiter,240.180207491,-19.792625628
2415025.5,Saturn,268.155277375,-22.436497833
2415025.5,Uranus,248.807541936,-21.958539538
2415025.5,Neptune,84.696791400,22.063447400
2415025.5,Pluto,74.998646221,12.917109558
2416851.8,Sun,286.580848592,-22.573406252
2416851.8,Moon,292.181435717,-17.957751514
2416851.8,Mercury,273.178272374,-20.134182160
2416851.8,Venus,331.129401543,-13.505254851
2416851.8,Mars,204.864886843,-8.510396692
2416851.8,Jupiter,19.897960347,7.043993520
2416851.8,Saturn,321.895396031,-16.176936622
2416851.8,Uranus,271.092482766,-23.657174024
2416851.8,Neptune,97.073987449,22.262413529
2416851.8,Pluto,80.032594608,14.641600440
2418678.0,Sun,286.618504737,-22.572452101
2418678.0,Moon,225.260919571,-15.295378346
2418678.0,Mercury,306.299449355,-20.735569951
2418678.0,Venus,328.134293531,-12.140745482
2418678.0,Mars,18.973778267,8.652434794
2418678.0,Jupiter,193.131557674,-4.186170417
2418678.0,Saturn,16.315970316,4.230585000
2418678.0,Uranus,292.582050543,-22.282146118
2418678.0,Neptune,109.424664791,21.529634309
2418678.0,Pluto,85.348801460,16.314102652
2420504.2,Sun,286.662288768,-22.568283595
2420504.2,Moon,168.372252964,2.983073298
2420504.2,Mercury,287.616162462,-24.385350339
2420504.2,Venus,242.502495121,-16.518892907
2420504.2,Mars,282.960542305,-23.769365243
2420504.2,Jupiter,326.212625926,-14.503666145
2420504.2,Saturn,87.336926915,22.319226224
2420504.2,Uranus,312.792705474,-18.308454194
2420504.2,Neptune,121.516727140,19.909446861
2420504.2,Pluto,90.958074113,17.905397170
2422330.5,Sun,286.706927047,-22.559308678
2422330.5,Moon,122.074931222,15.349043382
2422330.5,Mercury,268.020106585,-23.471896274
2422330.5,Venus,241.518449530,-18.437670971
2422330.5,Mars,198.648459780,-5.751461712
2422330.5,Jupiter,139.168626279,16.686305773
2422330.5,Saturn,163.622751730,8.948801156
2422330.5,Uranus,331.613795313,-12.429261566
