# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_calc, iflag=1588 (SEFLG_MOSEPH|SEFLG_J2000|SEFLG_TRUEPOS|SEFLG_NOABERR|SEFLG_NOGDEFL).
# Fictitious (hypothetical) bodies, SE numbers 40..=58 (SE_FICT_OFFSET_1 + 1..=19). Elements read from the committed data/seorbel.txt (SE's built-in fallback only covers 40-54; 55-58 require this file). Geocentric J2000-ecliptic lon/lat (degrees) and distance (AU), GEOMETRIC (no light-time, no aberration, no gravitational deflection) — matches FictitiousBackend::position's geocentric-J2000 boundary. Times are TT (Terrestrial Time) Julian days, evenly sampled per body across the 1900-2100 CE window (JD 2415020.5..=2488069.5).
label,se_body,jd_tt,lon_deg,lat_deg,dist_au
Cupido,40,2415020.500000000,106.678027162,-0.451128076,40.200094565
Cupido,40,2417539.431034483,117.037799286,-0.278956438,40.597523333
Cupido,40,2420058.362068966,126.654288473,-0.101665763,41.375067226
Cupido,40,2422577.293103448,135.418403246,0.071989691,42.028785480
Cupido,40,2425096.224137931,143.737656000,0.241330597,42.164448412
Cupido,40,2427615.155172414,152.231428675,0.408786063,41.705212428
Cupido,40,2430134.086206897,161.427696302,0.573435356,40.912666081
Cupido,40,2432653.017241379,171.485210205,0.726352404,40.255691556
Cupido,40,2435171.948275862,182.018167728,0.852635164,40.147042093
Cupido,40,2437690.879310345,192.279937697,0.942086752,40.653824283
Cupido,40,2440209.810344827,201.717159421,0.997809615,41.424574713
Cupido,40,2442728.741379310,210.362672142,1.031241050,41.939922038
Cupido,40,2445247.672413793,218.737561105,1.050788804,41.864677806
Cupido,40,2447766.603448276,227.497714487,1.055715064,41.236053173
Cupido,40,2450285.534482758,237.086051192,1.036242418,40.421677395
Cupido,40,2452804.465517242,247.471204704,0.979601465,39.907512590
Cupido,40,2455323.396551724,258.103990524,0.880594340,40.006350173
Cupido,40,2457842.327586207,268.254369013,0.747898401,40.645856745
Cupido,40,2460361.258620690,277.528989277,0.597376903,41.406085496
Cupido,40,2462880.189655173,286.110071579,0.440022243,41.794194360
Cupido,40,2465399.120689655,294.594941578,0.277659054,41.557822140
Cupido,40,2467918.051724138,303.639513522,0.106928765,40.841253349
Cupido,40,2470436.982758621,313.576250869,-0.072994480,40.099490702
Cupido,40,2472955.913793103,324.167382374,-0.254752589,39.810522511
