# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_pheno, iflag=516 (SEFLG_MOSEPH|SEFLG_NOGDEFL).
# Phase/phase-angle/elongation/diameter/magnitude for the classical planets (SE 0-9). attr[0]=phase_angle (deg), attr[1]=phase (illuminated fraction), attr[2]=elongation (deg), attr[3]=diameter (DEGREES, not arcsec), attr[4]=magnitude. For the Sun, SE skips the phase/elongation blocks and leaves them at 0. Times are TT (Terrestrial Time) Julian days.
label,se_body,jd_tt,phase_angle,phase,elongation,diameter_deg,magnitude
Sun,0,2415100.500000000,0.000000000,0.000000000,0.000000000,0.534887936,-26.867123904
Sun,0,2433282.500000000,0.000000000,0.000000000,0.000000000,0.542221724,-26.896694455
Sun,0,2441683.500000000,0.000000000,0.000000000,0.000000000,0.542201032,-26.896611586
Sun,0,2451545.000000000,0.000000000,0.000000000,0.000000000,0.542175420,-26.896509011
Sun,0,2459000.500000000,0.000000000,0.000000000,0.000000000,0.525824924,-26.830015727
Sun,0,2466154.500000000,0.000000000,0.000000000,0.000000000,0.542183745,-26.896542354
Sun,0,2477476.500000000,0.000000000,0.000000000,0.000000000,0.542120326,-26.896288342
Sun,0,2488021.500000000,0.000000000,0.000000000,0.000000000,0.538657412,-26.882373087
Moon,1,2415100.500000000,63.111662229,0.726126590,116.754408075,0.509158925,-10.982531153
Moon,1,2433282.500000000,38.651914939,0.890477431,141.250687297,0.498224837,-11.653423520
Moon,1,2441683.500000000,139.867513056,0.117721971,40.030431347,0.490497829,-7.475070554
Moon,1,2451545.000000000,122.663712126,0.230146376,57.204239601,0.494774137,-8.564995581
Moon,1,2459000.500000000,78.661286172,0.598304342,101.201763968,0.538659999,-10.575300042
Moon,1,2466154.500000000,16.329417694,0.979830531,163.626471246,0.492004929,-12.213888275
Moon,1,2477476.500000000,162.904629248,0.022091616,17.048657821,0.489740809,-4.810925461
Moon,1,2488021.500000000,158.754975003,0.033980332,21.193436813,0.539187800,-5.713029971
Mercury,2,2415100.500000000,162.251528988,0.023798033,6.636598586,0.002965615,4.382210851
Mercury,2,2433282.500000000,76.940538345,0.612981068,19.479434415,0.001863001,-0.531258504
Mercury,2,2441683.500000000,36.329876316,0.902809737,15.812042313,0.001425907,-0.489818258
Mercury,2,2451545.000000000,18.239470376,0.974878331,8.537785356,0.001320112,-0.734141618
Mercury,2,2459000.500000000,93.391365107,0.470422035,22.985976502,0.002053567,0.163119757
Mercury,2,2466154.500000000,6.130149145,0.997140945,2.880210274,0.001295643,-1.157207575
Mercury,2,2477476.500000000,61.839399302,0.735972314,21.543691903,0.001686343,-0.358803310
