# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_azalt, calc_flag=SE_ECL2HOR.
# Input: apparent ecliptic of date (lon,lat) degrees. Azimuth measured from SOUTH, increasing WESTWARD (SE native). Altitudes in degrees.
lon_ecl_deg,lat_ecl_deg,lat_deg,lon_deg,elev_m,atpress_hpa,attemp_c,jd_ut,se_azimuth_deg,se_true_alt_deg,se_apparent_alt_deg
0.0000,0.0000,40.0000,-74.0000,10.0,1013.250,15.000,2451544.500000,37.146692655,43.529312648,43.546111838
0.0000,0.0000,0.0000,0.0000,0.0,1013.250,15.000,2451544.500000,90.000000000,-9.964248874,-9.964248874
0.0000,0.0000,-33.0000,151.0000,50.0,1013.250,15.000,2451544.500000,280.642594635,-15.874977406,-15.874977406
90.0000,0.0000,40.0000,-74.0000,10.0,1013.250,15.000,2451544.500000,266.773912269,34.289902415,34.313294616
90.0000,0.0000,0.0000,0.0000,0.0,1013.250,15.000,2451544.500000,158.241238772,64.642565351,64.650131859
90.0000,0.0000,-33.0000,151.0000,50.0,1013.250,15.000,2451544.500000,65.117652632,-70.739218965,-70.739218965
180.0000,0.0000,40.0000,-74.0000,10.0,1013.250,15.000,2451544.500000,217.146692655,-43.529312648,-43.529312648
180.0000,0.0000,0.0000,0.0000,0.0,1013.250,15.000,2451544.500000,270.000000000,9.964248874,10.051272698
180.0000,0.0000,-33.0000,151.0000,50.0,1013.250,15.000,2451544.500000,100.642594635,15.874977406,15.930461458
270.0000,0.0000,40.0000,-74.0000,10.0,1013.250,15.000,2451544.500000,86.773912269,-34.289902415,-34.289902415
270.0000,0.0000,0.0000,0.0000,0.0,1013.250,15.000,2451544.500000,338.241238772,-64.642565351,-64.642565351
270.0000,0.0000,-33.0000,151.0000,50.0,1013.250,15.000,2451544.500000,245.117652632,70.739218965,70.744798208
45.0000,5.0000,40.0000,-74.0000,10.0,1013.250,15.000,2451544.500000,321.474376924,67.187337423,67.194053133
45.0000,5.0000,0.0000,0.0000,0.0,1013.250,15.000,2451544.500000,114.246618294,28.719178113,28.748276626
45.0000,5.0000,-33.0000,151.0000,50.0,1013.250,15.000,2451544.500000,286.481011525,-60.896359992,-60.896359992
90.0000,0.0000,66.5000,25.0000,0.0,1013.250,15.000,2451544.500000,44.720972729,41.650050263,41.667991529
90.0000,0.0000,66.5000,25.0000,0.0,1013.250,15.000,2451726.500000,211.247476223,3.596241513,3.796687440
45.0000,5.0000,66.5000,25.0000,0.0,1013.250,15.000,2451544.500000,93.339614677,21.664992843,21.705084809
45.0000,5.0000,66.5000,25.0000,0.0,1013.250,15.000,2451726.500000,255.354533959,16.703845036,16.756605493
90.0000,0.0000,40.0000,-74.0000,10.0,950.000,-5.000,2451544.500000,266.773912269,34.289902415,34.313191556
