# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_rise_trans / swe_rise_trans_true_hor, iflag=SEFLG_MOSEPH.
# Bodies via ipl (Sun=0,Moon=1,Mars=4); stars via swe_fixstar starname path. UT->TDB: jd_tdb=jd_ut+swe_deltat(jd_ut).
# se_jd_ut/se_jd_tdb == 'none' means SE reported no rise/set (return -2: circumpolar or never rises).
# Disc: default=upper limb; center=SE_BIT_DISC_CENTER; lower=SE_BIT_DISC_BOTTOM. refraction=0 => SE_BIT_NO_REFRACTION. fixed_disc=SE_BIT_FIXED_DISC_SIZE. hindu=SE_BIT_HINDU_RISING. horizon_deg => swe_rise_trans_true_hor(horhgt). For transits SE ignores these flags.
# Ecliptic-point rise/set OMITTED (SE swe_rise_trans has no arbitrary-ecliptic-point support); ecliptic points are covered in azalt.csv.
object,event,lat_deg,lon_deg,elev_m,preset,disc,refraction,no_ecl_lat,fixed_disc,hindu,horizon_deg,atpress_hpa,attemp_c,start_jd_ut,se_jd_ut,se_jd_tdb
Sun,Rise,40.0000,-74.0000,10.0,center_norefr,center,0,0,0,0,none,1013.250,15.000,2451544.500000,2451545.015904397,2451545.016643158
Sun,Rise,40.0000,-74.0000,10.0,lower_limb,lower,1,0,0,0,none,1013.250,15.000,2451544.500000,2451545.014687952,2451545.015426713
Sun,Rise,40.0000,-74.0000,10.0,fixed_disc,upper,1,0,1,0,none,1013.250,15.000,2451544.500000,2451545.012432534,2451545.013171295
Sun,Rise,40.0000,-74.0000,10.0,hindu,center,0,1,0,1,none,1013.250,15.000,2451544.500000,2451545.015894670,2451545.016633430
Sun,Rise,40.0000,-74.0000,10.0,horizon_plus5,upper,1,0,0,0,5.000,1013.250,15.000,2451544.500000,2451545.035665593,2451545.036404354
Sun,Set,40.0000,-74.0000,10.0,center_norefr,center,0,0,0,0,none,1013.250,15.000,2451544.500000,2451545.399997963,2451545.400736727
Sun,Set,40.0000,-74.0000,10.0,lower_limb,lower,1,0,0,0,none,1013.250,15.000,2451544.500000,2451545.401214425,2451545.401953189
Sun,Set,40.0000,-74.0000,10.0,fixed_disc,upper,1,0,1,0,none,1013.250,15.000,2451544.500000,2451545.403469909,2451545.404208674
Sun,Set,40.0000,-74.0000,10.0,hindu,center,0,1,0,1,none,1013.250,15.000,2451544.500000,2451545.400007811,2451545.400746576
Sun,Set,40.0000,-74.0000,10.0,horizon_plus5,upper,1,0,0,0,5.000,1013.250,15.000,2451544.500000,2451545.380236389,2451545.380975153
Sun,Rise,40.0000,-74.0000,10.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451545.012413625,2451545.013152386
Sun,Set,40.0000,-74.0000,10.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451545.403488823,2451545.404227587
Sun,UpperTransit,40.0000,-74.0000,10.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451545.207905686,2451545.208644449
Sun,LowerTransit,40.0000,-74.0000,10.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451544.707740244,2451544.708479002
Moon,Rise,40.0000,-74.0000,10.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451544.813439820,2451544.814178579
